"","primary_com_name","species_group"
"1","Common Ostrich","Ostriches"
"2","Somali Ostrich","Ostriches"
"3","Greater Rhea","Rheas"
"4","Lesser Rhea","Rheas"
"5","Tawny-breasted Tinamou","Tinamous"
"6","Highland Tinamou","Tinamous"
"7","Hooded Tinamou","Tinamous"
"8","Gray Tinamou","Tinamous"
"9","Solitary Tinamou","Tinamous"
"10","Black Tinamou","Tinamous"
"11","Great Tinamou","Tinamous"
"12","White-throated Tinamou","Tinamous"
"13","Cinereous Tinamou","Tinamous"
"14","Berlepsch's Tinamou","Tinamous"
"15","Little Tinamou","Tinamous"
"16","Tepui Tinamou","Tinamous"
"17","Brown Tinamou","Tinamous"
"18","Undulated Tinamou","Tinamous"
"19","Pale-browed Tinamou","Tinamous"
"20","Brazilian Tinamou","Tinamous"
"21","Gray-legged Tinamou","Tinamous"
"22","Red-legged Tinamou","Tinamous"
"23","Yellow-legged Tinamou","Tinamous"
"24","Black-capped Tinamou","Tinamous"
"25","Slaty-breasted Tinamou","Tinamous"
"26","Choco Tinamou","Tinamous"
"27","Variegated Tinamou","Tinamous"
"28","Thicket Tinamou","Tinamous"
"29","Rusty Tinamou","Tinamous"
"30","Bartlett's Tinamou","Tinamous"
"31","Small-billed Tinamou","Tinamous"
"32","Barred Tinamou","Tinamous"
"33","Tataupa Tinamou","Tinamous"
"34","Red-winged Tinamou","Tinamous"
"35","Huayco Tinamou","Tinamous"
"36","Taczanowski's Tinamou","Tinamous"
"37","Ornate Tinamou","Tinamous"
"38","Chilean Tinamou","Tinamous"
"39","Brushland Tinamou","Tinamous"
"40","Andean Tinamou","Tinamous"
"41","Curve-billed Tinamou","Tinamous"
"42","White-bellied Nothura","Tinamous"
"43","Lesser Nothura","Tinamous"
"44","Darwin's Nothura","Tinamous"
"45","Spotted Nothura","Tinamous"
"46","Dwarf Tinamou","Tinamous"
"47","Elegant Crested-Tinamou","Tinamous"
"48","Quebracho Crested-Tinamou","Tinamous"
"49","Puna Tinamou","Tinamous"
"50","Patagonian Tinamou","Tinamous"
"51","Southern Cassowary","Cassowaries and Emu"
"52","Dwarf Cassowary","Cassowaries and Emu"
"53","Northern Cassowary","Cassowaries and Emu"
"54","Emu","Cassowaries and Emu"
"55","Southern Brown Kiwi","Kiwis"
"56","Okarito Brown Kiwi","Kiwis"
"57","North Island Brown Kiwi","Kiwis"
"58","Little Spotted Kiwi","Kiwis"
"59","Great Spotted Kiwi","Kiwis"
"60","Horned Screamer","Screamers"
"61","Southern Screamer","Screamers"
"62","Northern Screamer","Screamers"
"63","Magpie Goose","Waterfowl"
"64","Spotted Whistling-Duck","Waterfowl"
"65","Plumed Whistling-Duck","Waterfowl"
"66","White-faced Whistling-Duck","Waterfowl"
"67","Black-bellied Whistling-Duck","Waterfowl"
"68","West Indian Whistling-Duck","Waterfowl"
"69","Fulvous Whistling-Duck","Waterfowl"
"70","Wandering Whistling-Duck","Waterfowl"
"71","Lesser Whistling-Duck","Waterfowl"
"72","White-backed Duck","Waterfowl"
"73","Bar-headed Goose","Waterfowl"
"74","Emperor Goose","Waterfowl"
"75","Snow Goose","Waterfowl"
"76","Ross's Goose","Waterfowl"
"77","Graylag Goose","Waterfowl"
"78","Swan Goose","Waterfowl"
"79","Greater White-fronted Goose","Waterfowl"
"80","Lesser White-fronted Goose","Waterfowl"
"81","Taiga Bean-Goose","Waterfowl"
"82","Tundra Bean-Goose","Waterfowl"
"83","Pink-footed Goose","Waterfowl"
"84","Brant","Waterfowl"
"85","Barnacle Goose","Waterfowl"
"86","Cackling Goose","Waterfowl"
"87","Canada Goose","Waterfowl"
"88","Hawaiian Goose","Waterfowl"
"89","Red-breasted Goose","Waterfowl"
"90","Cape Barren Goose","Waterfowl"
"91","Freckled Duck","Waterfowl"
"92","Blue-winged Goose","Waterfowl"
"93","Mute Swan","Waterfowl"
"94","Black Swan","Waterfowl"
"95","Black-necked Swan","Waterfowl"
"96","Trumpeter Swan","Waterfowl"
"97","Tundra Swan","Waterfowl"
"98","Whooper Swan","Waterfowl"
"99","Coscoroba Swan","Waterfowl"
"100","Knob-billed Duck","Waterfowl"
"101","Comb Duck","Waterfowl"
"102","Hartlaub's Duck","Waterfowl"
"103","Orinoco Goose","Waterfowl"
"104","Andean Goose","Waterfowl"
"105","Upland Goose","Waterfowl"
"106","Kelp Goose","Waterfowl"
"107","Ashy-headed Goose","Waterfowl"
"108","Ruddy-headed Goose","Waterfowl"
"109","Radjah Shelduck","Waterfowl"
"110","Egyptian Goose","Waterfowl"
"111","Mauritius Shelduck","Waterfowl"
"112","Reunion Shelduck","Waterfowl"
"113","Ruddy Shelduck","Waterfowl"
"114","South African Shelduck","Waterfowl"
"115","Australian Shelduck","Waterfowl"
"116","Paradise Shelduck","Waterfowl"
"117","Common Shelduck","Waterfowl"
"118","Crested Shelduck","Waterfowl"
"119","Spur-winged Goose","Waterfowl"
"120","Flying Steamer-Duck","Waterfowl"
"121","Flightless Steamer-Duck","Waterfowl"
"122","Falkland Steamer-Duck","Waterfowl"
"123","White-headed Steamer-Duck","Waterfowl"
"124","Crested Duck","Waterfowl"
"125","Spectacled Duck","Waterfowl"
"126","Muscovy Duck","Waterfowl"
"127","Green Pygmy-Goose","Waterfowl"
"128","Cotton Pygmy-Goose","Waterfowl"
"129","African Pygmy-Goose","Waterfowl"
"130","Ringed Teal","Waterfowl"
"131","Wood Duck","Waterfowl"
"132","Mandarin Duck","Waterfowl"
"133","Maned Duck","Waterfowl"
"134","Finsch's Duck","Waterfowl"
"135","Brazilian Teal","Waterfowl"
"136","Blue Duck","Waterfowl"
"137","Torrent Duck","Waterfowl"
"138","Salvadori's Teal","Waterfowl"
"139","Baikal Teal","Waterfowl"
"140","Garganey","Waterfowl"
"141","Blue-billed Teal","Waterfowl"
"142","Silver Teal","Waterfowl"
"143","Puna Teal","Waterfowl"
"144","Blue-winged Teal","Waterfowl"
"145","Cinnamon Teal","Waterfowl"
"146","Red Shoveler","Waterfowl"
"147","Cape Shoveler","Waterfowl"
"148","Australian Shoveler","Waterfowl"
"149","Northern Shoveler","Waterfowl"
"150","Gadwall","Waterfowl"
"151","Falcated Duck","Waterfowl"
"152","Eurasian Wigeon","Waterfowl"
"153","American Wigeon","Waterfowl"
"154","Chiloe Wigeon","Waterfowl"
"155","Amsterdam Duck","Waterfowl"
"156","African Black Duck","Waterfowl"
"157","Yellow-billed Duck","Waterfowl"
